City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mamurras,41.5775,19.6922,299.23,61,0,2.06,AL,1690957035
1,anadyr,64.75,177.4833,284.82,76,40,6.0,RU,1690956499
2,margaret river,-33.95,115.0667,282.33,92,100,10.25,AU,1690956489
3,papatowai,-46.5619,169.4708,278.3,67,99,9.56,NZ,1690956504
4,avarua,-21.2078,-159.775,295.18,78,75,4.63,CK,1690956471
5,sechura,-5.5569,-80.8222,294.42,79,4,3.38,PE,1690957036
6,albert lea,43.648,-93.3683,295.0,60,63,3.73,US,1690957036
7,iskateley,67.6803,53.1512,295.28,56,32,4.06,RU,1690956481
8,mancio lima,-7.6142,-72.8958,294.77,69,77,0.46,BR,1690957037
9,orland,39.7474,-122.1964,301.09,31,23,1.92,US,1690957037
10,uzgen,40.7699,73.3007,304.31,19,98,1.74,KG,1690957037
11,mount isa,-20.7333,139.5,301.02,23,8,6.17,AU,1690956500
12,ambovombe,-25.1667,46.0833,293.44,61,72,5.64,MG,1690956606
13,utrik,11.2278,169.8474,301.61,78,97,6.44,MH,1690956486
14,lompoc,34.6391,-120.4579,288.44,85,40,6.71,US,1690956545
15,wailua homesteads,22.0669,-159.378,300.39,86,100,6.69,US,1690956478
16,mandalgovi,45.7625,106.2708,300.71,38,41,5.81,MN,1690957038
17,greenville,35.6127,-77.3663,294.33,89,0,0.0,US,1690956503
18,ribeira grande,38.5167,-28.7,296.91,91,99,1.79,PT,1690956475
19,rieti,42.4072,12.8592,295.92,58,5,4.12,IT,1690957039
20,yellowknife,62.456,-114.3525,290.44,55,20,2.57,CA,1690957039
21,qaqortoq,60.7167,-46.0333,278.89,86,15,1.21,GL,1690956504
22,naze,28.3667,129.4833,300.66,90,100,13.95,JP,1690957040
23,atafu village,-8.5421,-172.5159,301.73,75,99,5.57,TK,1690956550
24,puerto penasco,31.3167,-113.5333,304.77,66,19,1.34,MX,1690957040
25,portland,45.5234,-122.6762,297.14,57,0,3.09,US,1690956319
26,borogontsy,62.6683,131.1683,292.2,56,85,0.43,RU,1690956606
27,vilyuchinsk,52.9306,158.4028,292.3,78,82,2.91,RU,1690956771
